"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\Modal.jsx", "JavaScript JSX", 0, 51, 0, 0, 6, 57
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\NotificationCenter.jsx", "JavaScript JSX", 0, 177, 0, 11, 14, 202
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\Notifications.jsx", "JavaScript JSX", 0, 40, 0, 0, 2, 42
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\PatientList.jsx", "JavaScript JSX", 0, 34, 0, 0, 3, 37
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\PreviewPDFModal.jsx", "JavaScript JSX", 0, 323, 0, 836, 127, 1286
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\QuickPatientForm.jsx", "JavaScript JSX", 0, 77, 0, 1, 5, 83
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\RappelsFailedSMS.jsx", "JavaScript JSX", 0, 212, 0, 11, 20, 243
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\ReminderNotificationBell.jsx", "JavaScript JSX", 0, 197, 0, 10, 14, 221
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\RevenueChart.jsx", "JavaScript JSX", 0, 42, 0, 3, 8, 53
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\RoleGuard.jsx", "JavaScript JSX", 0, 35, 0, 0, 6, 41
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\Sidebar.jsx", "JavaScript JSX", 0, 591, 0, 13, 51, 655
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\SignaturePad.jsx", "JavaScript JSX", 0, 60, 0, 1, 4, 65
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\StockList.jsx", "JavaScript JSX", 0, 32, 0, 0, 1, 33
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\ThemeSelector.jsx", "JavaScript JSX", 0, 125, 0, 11, 14, 150
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\TimePickerAmPm.jsx", "JavaScript JSX", 0, 50, 0, 1, 5, 56
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\components\Topbar.jsx", "JavaScript JSX", 0, 215, 0, 14, 25, 254
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\data\mockData.js", "JavaScript", 33, 0, 0, 0, 5, 38
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\hooks\AuthContext.jsx", "JavaScript JSX", 0, 12, 0, 0, 4, 16
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\hooks\NotificationsContext.jsx", "JavaScript JSX", 0, 80, 0, 0, 15, 95
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\hooks\useAllergies.js", "JavaScript", 67, 0, 0, 0, 9, 76
"c:\Users\DELL\Desktop\STAGE DB DIGITAL\smile\src\hooks\useAntecedents.js", "JavaScript", 67, 0, 0, 0, 9, 76
